Timestep: 275, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 276, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 277, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 278, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 279, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 280, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 281, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 282, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 283, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 284, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 285, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 286, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 287, Current State: 5, Next State: 0, Selected Action: 0
Timestep: 288, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 289, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 290, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 291, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 292, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 293, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 294, Current State: 0, Next State: 5, Selected Action: 0
Timestep: 295, Current State: 5, Next State: 5, Selected Action: 0
Timestep: 296, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 297, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 298, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 299, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 300, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 301, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 302, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 303, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 304, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 305, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 306, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 307, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 308, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 309, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 310, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 311, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 312, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 313, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 314, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 315, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 316, Current State: 4, Next State: 4, Selected Action: 0
Timestep: 317, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 318, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 319, Current State: 0, Next State: 5, Selected Action: 0
Timestep: 320, Current State: 5, Next State: 4, Selected Action: 0
Timestep: 321, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 322, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 323, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 324, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 325, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 326, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 327, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 328, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 329, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 330, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 331, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 332, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 333, Current State: 0, Next State: 1, Selected Action: 0
Timestep: 334, Current State: 1, Next State: 0, Selected Action: 0
Timestep: 335, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 336, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 337, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 338, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 339, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 340, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 341, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 342, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 343, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 344, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 345, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 346, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 347, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 348, Current State: 5, Next State: 4, Selected Action: 0
Timestep: 349, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 350, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 351, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 352, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 353, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 354, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 355, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 356, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 357, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 358, Current State: 4, Next State: 0, Selected Action: 0
Timestep: 359, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 360, Current State: 0, Next State: 0, Selected Action: 0
Timestep: 361, Current State: 0, Next State: 4, Selected Action: 0
Timestep: 362, Current State: 4, Next State: 5, Selected Action: 0
Timestep: 363, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 364, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 365, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 366, Current State: 2, Next State: 4, Selected Action: 0
Timestep: 367, Current State: 4, Next State: 2, Selected Action: 0
Timestep: 368, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 369, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 370, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 371, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 372, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 373, Current State: 2, Next State: 2, Selected Action: 0
Timestep: 374, Current State: 2, Next State: 5, Selected Action: 0
Timestep: 375, Current State: 5, Next State: 2, Selected Action: 0
Timestep: 376, Current State: 2, Next State: 0, Selected Action: 0
Timestep: 377, Current State: 0, Next State: 2, Selected Action: 0
Timestep: 378, Current State: 2, Next State: 1, Selected Action: 0
